OA,Pop_marr,Married,Civil,Mean_married
E00175958,129,4,0,0.031007751937984496
E00175959,291,17,2,0.06529209621993128
E00175960,206,28,0,0.13592233009708737
E00175961,199,29,1,0.1507537688442211
E00175962,190,27,2,0.15263157894736842
E00175963,195,58,4,0.31794871794871793
E00175964,154,25,0,0.16233766233766234
E00175965,206,30,7,0.1796116504854369
E00175966,253,100,3,0.40711462450592883
E00175967,227,60,0,0.2643171806167401
E00175968,241,68,0,0.2821576763485477
E00175969,144,43,0,0.2986111111111111
E00175970,153,41,1,0.27450980392156865
E00175971,214,51,0,0.2383177570093458
E00175972,681,72,0,0.10572687224669604
E00175973,152,44,2,0.3026315789473684
E00175974,188,22,2,0.1276595744680851
E00175975,198,99,0,0.5
E00175976,196,49,4,0.27040816326530615
E00175977,155,65,0,0.41935483870967744
E00175978,203,73,0,0.35960591133004927
E00175979,150,29,0,0.19333333333333333
E00175980,206,105,4,0.529126213592233
E00175981,182,69,0,0.3791208791208791
E00175982,199,62,2,0.32160804020100503
E00175983,192,14,0,0.07291666666666667
E00175984,203,32,5,0.18226600985221675
E00175985,193,10,3,0.06735751295336788
E00175986,125,31,3,0.272
E00175987,188,24,6,0.1595744680851064
E00175988,144,16,2,0.125
E00175989,196,31,0,0.15816326530612246
E00175990,196,16,0,0.08163265306122448
E00175991,335,48,10,0.17313432835820897
E00175992,340,46,2,0.1411764705882353
E00175993,270,22,3,0.09259259259259259
E00175994,184,32,2,0.18478260869565216
E00175995,152,22,2,0.15789473684210525
E00175996,211,19,0,0.09004739336492891
E00175997,219,14,0,0.0639269406392694
E00175998,180,35,2,0.20555555555555555
E00175999,346,79,9,0.2543352601156069
E00176000,240,27,4,0.12916666666666668
E00176001,281,26,6,0.11387900355871886
E00176002,110,15,1,0.14545454545454545
E00176003,181,17,3,0.11049723756906077
E00176004,207,17,0,0.0821256038647343
E00176005,275,38,4,0.15272727272727274
E00176006,221,27,1,0.12669683257918551
E00176007,102,32,2,0.3333333333333333
E00176008,137,35,2,0.27007299270072993
E00176009,201,5,0,0.024875621890547265
E00176010,217,7,2,0.041474654377880185
E00176011,192,71,0,0.3697916666666667
E00176012,289,130,4,0.46366782006920415
E00176013,155,75,0,0.4838709677419355
E00176014,161,36,0,0.2236024844720497
E00176015,254,154,0,0.6062992125984252
E00176016,100,28,0,0.28
E00176017,139,34,0,0.2446043165467626
E00176018,326,24,0,0.0736196319018405
E00176019,310,94,0,0.3032258064516129
E00176020,366,64,0,0.17486338797814208
E00176021,383,65,2,0.17493472584856398
E00176022,234,57,0,0.24358974358974358
E00176023,177,78,2,0.4519774011299435
E00176024,155,13,4,0.10967741935483871
E00176025,142,8,2,0.07042253521126761
E00176026,176,20,0,0.11363636363636363
E00176027,971,15,3,0.018537590113285273
E00176028,139,31,0,0.22302158273381295
E00176029,226,8,0,0.035398230088495575
E00176030,1088,35,0,0.03216911764705882
E00176031,178,37,1,0.21348314606741572
E00176032,264,21,4,0.0946969696969697
E00176033,267,121,0,0.45318352059925093
E00176034,417,24,0,0.05755395683453238
E00176035,197,12,0,0.06091370558375635
E00176036,195,49,0,0.2512820512820513
E00176037,208,24,2,0.125
E00176038,592,28,8,0.060810810810810814
E00176039,166,32,7,0.23493975903614459
E00176040,159,24,0,0.1509433962264151
E00176041,564,39,0,0.06914893617021277
E00176042,253,115,0,0.45454545454545453
E00176043,173,52,0,0.30057803468208094
E00176044,256,50,4,0.2109375
E00176045,178,23,2,0.1404494382022472
E00176046,1176,5,1,0.00510204081632653
E00176047,120,49,0,0.4083333333333333
E00176048,182,15,3,0.0989010989010989
E00176049,310,22,0,0.07096774193548387
E00176050,192,10,4,0.07291666666666667
E00176051,157,21,2,0.1464968152866242
E00176052,194,14,0,0.07216494845360824
E00176053,172,21,0,0.12209302325581395
E00176054,201,19,3,0.10945273631840796
E00176055,175,26,1,0.15428571428571428
E00176056,205,3,0,0.014634146341463415
E00176057,202,20,2,0.10891089108910891
E00176058,168,17,8,0.1488095238095238
E00176059,217,29,0,0.1336405529953917
E00176060,222,96,2,0.44144144144144143
E00176061,140,43,0,0.30714285714285716
E00176062,199,18,1,0.09547738693467336
E00176063,174,14,2,0.09195402298850575
E00176064,143,25,4,0.20279720279720279
E00176065,227,54,1,0.2422907488986784
E00176066,250,88,1,0.356
E00176067,230,56,2,0.25217391304347825
E00176068,182,52,0,0.2857142857142857
E00176069,153,21,0,0.13725490196078433
E00176070,476,42,3,0.09453781512605042
E00176071,192,71,1,0.375
E00176072,221,76,0,0.3438914027149321
E00176073,226,75,2,0.3407079646017699
E00176074,186,43,0,0.23118279569892472
E00176075,141,37,0,0.2624113475177305
E00176076,221,27,3,0.13574660633484162
E00176077,237,65,2,0.28270042194092826
E00176078,240,67,2,0.2875
E00176079,283,32,3,0.12367491166077739
E00176080,216,11,2,0.06018518518518518
E00176081,111,28,0,0.25225225225225223
E00176082,959,4,2,0.006256517205422315
E00176083,253,118,3,0.4782608695652174
E00176084,132,53,2,0.4166666666666667
E00176085,93,56,0,0.6021505376344086
E00176086,159,9,0,0.05660377358490566
E00176087,194,29,0,0.14948453608247422
E00176088,274,55,0,0.20072992700729927
E00176089,157,16,10,0.16560509554140126
E00176090,237,39,0,0.16455696202531644
E00176091,617,3,0,0.004862236628849271
E00176092,194,62,2,0.32989690721649484
E00176093,258,56,0,0.21705426356589147
